"table_name","column_name","data_type","is_nullable","column_default"
"entity_form_mappings","contact_type_id","uuid","YES",NULL
"entity_form_mappings","entity_subtype_id","uuid","YES",NULL
"entity_form_mappings","team_entity_id","uuid","YES",NULL
"entity_form_mappings","calendar_entity_id","uuid","YES",NULL
"entity_form_mappings","collection_entity_id","uuid","YES",NULL
"entity_form_mappings","geo_entity_id","uuid","YES",NULL
"entity_form_mappings","notification_entity_id","uuid","YES",NULL
"entity_form_mappings","organization_entity_id","uuid","YES",NULL
"entity_form_mappings","parent_entity_id","uuid","YES",NULL
"entity_form_mappings","production_entity_id","uuid","YES",NULL
"entity_form_mappings","permission_entity_id","uuid","YES",NULL
"entity_form_mappings","sales_engine_entity_id","uuid","YES",NULL
"entity_form_mappings","opportunity_type_id","uuid","YES",NULL
"entity_form_mappings","auto_bypass_subtype","boolean","YES","false"
"entity_form_mappings","is_default","boolean","YES","false"
"entity_form_mappings","display_order","integer","YES","0"
"entity_form_mappings","created_at","timestamp with time zone","YES","now()"
"entity_form_mappings","updated_at","timestamp with time zone","YES","now()"
"entity_subtypes","id","uuid","NO","uuid_generate_v4()"
"entity_subtypes","display_name","character varying","NO",NULL
"entity_subtypes","description","text","YES",NULL
"entity_subtypes","is_active","boolean","YES","true"
"entity_subtypes","settings","jsonb","YES",NULL
"entity_subtypes","created_at","timestamp with time zone","YES","now()"
"entity_subtypes","updated_at","timestamp with time zone","YES","now()"
"entity_subtypes","is_filterable","boolean","NO","false"
"entity_types","id","uuid","NO","uuid_generate_v4()"
"entity_types","display_name","character varying","NO",NULL
"entity_types","is_filterable","boolean","YES","true"
"entity_types","settings","jsonb","YES",NULL
"entity_types","created_at","timestamp with time zone","YES","now()"
"entity_types","updated_at","timestamp with time zone","YES","now()"
"entity_types","is_active","boolean","NO","true"
"entity_types","description","text","YES",NULL
"form_components","id","uuid","NO","uuid_generate_v4()"
"form_components","name","character varying","NO",NULL
"form_components","description","text","YES",NULL
"form_components","component_type","character varying","NO",NULL
"form_components","default_config","jsonb","NO",NULL
"form_components","is_active","boolean","YES","true"
"form_components","is_public","boolean","YES","false"
"form_components","organization_id","uuid","YES",NULL
"form_components","created_by","uuid","YES",NULL
"form_components","created_at","timestamp with time zone","YES","now()"
"form_components","updated_at","timestamp with time zone","YES","now()"
"form_definitions","id","uuid","NO","uuid_generate_v4()"
"form_definitions","name","character varying","NO",NULL
"form_definitions","description","text","YES",NULL
"form_definitions","form_schema","jsonb","NO",NULL
"form_definitions","version","integer","NO","1"
"form_definitions","is_active","boolean","YES","true"
"form_definitions","is_public","boolean","YES","false"
"form_definitions","created_by","uuid","YES",NULL
"form_definitions","created_at","timestamp with time zone","YES","now()"
"form_definitions","updated_at","timestamp with time zone","YES","now()"
"form_definitions","auto_versioning","boolean","YES","true"
"form_definitions","metadata","jsonb","YES","'{}'::jsonb"
"form_definitions","level","character varying","NO","'BASE'::character varying"
"opportunities","id","uuid","NO","uuid_generate_v4()"
"opportunities","opportunity_type_id","uuid","YES",NULL
"opportunities","status","character varying","YES","'ACTIVE'::character varying"
"opportunities","notes","text","YES",NULL
"opportunities","created_by","uuid","YES",NULL
"opportunities","metadata","jsonb","YES",NULL
"opportunities","created_at","timestamp with time zone","YES","now()"
"opportunities","updated_at","timestamp with time zone","YES","now()"
"opportunities","collection_id","uuid","YES",NULL
"opportunity_types","id","uuid","NO","uuid_generate_v4()"
"opportunity_types","name","character varying","NO",NULL
"opportunity_types","description","text","YES",NULL
"opportunity_types","is_active","boolean","YES","true"
"opportunity_types","settings","jsonb","YES",NULL
"opportunity_types","created_at","timestamp with time zone","YES","now()"
"opportunity_types","updated_at","timestamp with time zone","YES","now()"
"user_engagement_role_assignments","id","uuid","NO","uuid_generate_v4()"
"user_engagement_role_assignments","user_id","uuid","NO",NULL
"user_engagement_role_assignments","engagement_role_id","uuid","NO",NULL
"user_engagement_role_assignments","entity_id","uuid","NO",NULL
"user_engagement_role_assignments","entity_type_name","character varying","NO",NULL
"user_engagement_role_assignments","assigned_by","uuid","YES",NULL
"user_engagement_role_assignments","assigned_at","timestamp with time zone","YES","now()"
"user_engagement_role_assignments","is_active","boolean","YES","true"
"user_engagement_role_assignments","created_at","timestamp with time zone","YES","now()"
"user_engagement_role_assignments","updated_at","timestamp with time zone","YES","now()"
