Table Name,web component,schema,record type,record sub_type,purpose,included in beta,FK - On Creation,indexing stradegy,Constraints,On Delete Behavior,record creation trigger,table trigger creation,table trigger record,on creation,on delete,data migration notes,audit requirements
column_permissions,ColumnVisibilityManager component; Controls which database columns are visible in UI,"""column_permissions""        ""id""        ""uuid""        ""NO""        ""uuid_generate_v4()""
""column_permissions""        ""table_name""        ""character varying""        ""NO""        
""column_permissions""        ""column_name""        ""character varying""        ""NO""        
""column_permissions""        ""permission_type""        ""character varying""        ""NO""        
""column_permissions""        ""role_id""        ""uuid""        ""YES""        
""column_permissions""        ""is_allowed""        ""boolean""        ""YES""        ""false""
""column_permissions""        ""created_at""        ""timestamp with time zone""        ""YES""        ""now()""",permissions,UI/API Access,Defines which columns are visible in UI or accessible via API for each role,yes,column_permissions_role_id_fkey: role_id → roles.id,"column_permissions_pkey, idx_column_perm_unique","CHECK (column_name IS NOT NULL), CHECK (id IS NOT NULL), CHECK (permission_type IS NOT NULL), CHECK (table_name IS NOT NULL), FOREIGN KEY (role_id) REFERENCES roles(id), PRIMARY KEY (id), NOT NULL (column_name), NOT NULL (permission_type), NOT NULL (table_name)",,permission configuration,,,permission cache update,cascade delete when role is deleted,,
communication_templates,,"""communication_templates""        ""id""        ""uuid""        ""NO""        ""uuid_generate_v4()""
""communication_templates""        ""name""        ""character varying""        ""NO""        
""communication_templates""        ""description""        ""text""        ""YES""        
""communication_templates""        ""template_type""        ""character varying""        ""NO""        
""communication_templates""        ""subject_template""        ""text""        ""YES""        
""communication_templates""        ""body_template""        ""text""        ""YES""        
""communication_templates""        ""variables""        ""jsonb""        ""YES""        
""communication_templates""        ""is_active""        ""boolean""        ""YES""        ""true""
""communication_templates""        ""created_by""        ""uuid""        ""YES""        
""communication_templates""        ""created_at""        ""timestamp with time zone""        ""YES""        ""now()""
""communication_templates""        ""updated_at""        ""timestamp with time zone""        ""YES""        ""now()""",communications,templates,"Stores reusable message templates for emails, SMS, and notifications that can incorporate dynamic data from the form system",no,communication_templates_created_by_fkey: created_by → users.id,communication_templates_pkey,"CHECK (id IS NOT NULL), CHECK (name IS NOT NULL), CHECK (template_type IS NOT NULL), FOREIGN KEY (created_by) REFERENCES users(id), PRIMARY KEY (id), NOT NULL (name), NOT NULL (template_type)",,UI created,,,activity log entry,soft delete - set is_active = false,,
contact_types,,"""contact_types""        ""id""        ""uuid""        ""NO""        ""uuid_generate_v4()""
""contact_types""        ""display_name""        ""character varying""        ""NO""        
""contact_types""        ""description""        ""text""        ""YES""        
""contact_types""        ""active""        ""boolean""        ""YES""        ""true""
""contact_types""        ""settings""        ""jsonb""        ""YES""        
""contact_types""        ""created_at""        ""timestamp with time zone""        ""YES""        ""now()""
""contact_types""        ""updated_at""        ""timestamp with time zone""        ""YES""        ""now()""",settings,settings,settings,no,null,contact_types_pkey,"CHECK (display_name IS NOT NULL), CHECK (id IS NOT NULL), PRIMARY KEY (id), NOT NULL (display_name)",,,,,,,,
contacts,"ContactCard, ContactForm, ContactSelector components; Displays contact information in cards; Collects new contact data through forms; Allows selection of contacts for assignments","""contacts""        ""id""        ""uuid""        ""NO""        ""uuid_generate_v4()""
""contacts""        ""first_name""        ""character varying""        ""YES""        
""contacts""        ""last_name""        ""character varying""        ""YES""        
""contacts""        ""email""        ""character varying""        ""YES""        
""contacts""        ""notes""        ""text""        ""YES""        
""contacts""        ""facebook""        ""character varying""        ""YES""        
""contacts""        ""x""        ""character varying""        ""YES""        
""contacts""        ""instagram""        ""character varying""        ""YES""        
""contacts""        ""linkedin""        ""character varying""        ""YES""        
""contacts""        ""cover_photo""        ""character varying""        ""YES""        
""contacts""        ""status""        ""character varying""        ""YES""        ""'ACTIVE'::character varying""
""contacts""        ""contact_approval""        ""boolean""        ""YES""        ""false""
""contacts""        ""contact_type_id""        ""uuid""        ""YES""        
""contacts""        ""created_by""        ""uuid""        ""YES""        
""contacts""        ""updated_by""        ""uuid""        ""YES""        
""contacts""        ""metadata""        ""jsonb""        ""YES""        
""contacts""        ""created_at""        ""timestamp with time zone""        ""YES""        ""now()""
""contacts""        ""updated_at""        ""timestamp with time zone""        ""YES""        ""now()""
""contacts""        ""collection_id""        ""uuid""        ""YES""        ",parental entity,customer or affiliate data that can be used in a collection to build a sale or opportunity.,,,contacts_collection_id_fkey: collection_id → collections.id,contacts_pkey,"CHECK (id IS NOT NULL), FOREIGN KEY (collection_id) REFERENCES collections(id), PRIMARY KEY (id)",,,,,,,,
core_settings,,"""core_settings""        ""id""        ""integer""        ""NO""        ""nextval('core_settings_id_seq'::regclass)""
""core_settings""        ""setting_key""        ""character varying""        ""NO""        
""core_settings""        ""setting_value""        ""jsonb""        ""YES""        
""core_settings""        ""created_at""        ""timestamp with time zone""        ""YES""        ""now()""
""core_settings""        ""updated_at""        ""timestamp with time zone""        ""YES""        ""now()""",settings,settings,settings,no,null,"core_settings_pkey, core_settings_setting_key_key","CHECK (id IS NOT NULL), CHECK (setting_key IS NOT NULL), PRIMARY KEY (id), UNIQUE (setting_key), NOT NULL (setting_key)",,,,,,,,
corporate,,"""corporate""        ""id""        ""uuid""        ""NO""        
""corporate""        ""name""        ""character varying""        ""NO""        
""corporate""        ""legal_name""        ""character varying""        ""YES""        
""corporate""        ""tax_id""        ""character varying""        ""YES""        
""corporate""        ""address_id""        ""uuid""        ""YES""        
""corporate""        ""website""        ""character varying""        ""YES""        
""corporate""        ""logo_url""        ""character varying""        ""YES""        
""corporate""        ""primary_contact_id""        ""uuid""        ""YES""        
""corporate""        ""status""        ""character varying""        ""YES""        ""'ACTIVE'::character varying""
""corporate""        ""metadata""        ""jsonb""        ""YES""        
""corporate""        ""created_at""        ""timestamp without time zone""        ""NO""        
""corporate""        ""updated_at""        ""timestamp without time zone""        ""NO""        ",parental entity,,,,null,corporate_pkey,"CHECK (created_at IS NOT NULL), CHECK (id IS NOT NULL), CHECK (name IS NOT NULL), CHECK (updated_at IS NOT NULL), PRIMARY KEY (id), NOT NULL (created_at), NOT NULL (id), NOT NULL (name), NOT NULL (updated_at)",,UI created,,,,,,
corporate_goals,,"""corporate_goals""        ""id""        ""uuid""        ""NO""        
""corporate_goals""        ""corporate_id""        ""uuid""        ""YES""        
""corporate_goals""        ""title""        ""character varying""        ""NO""        
""corporate_goals""        ""description""        ""text""        ""YES""        
""corporate_goals""        ""goal_type""        ""character varying""        ""YES""        
""corporate_goals""        ""target_value""        ""numeric""        ""YES""        
""corporate_goals""        ""current_value""        ""numeric""        ""YES""        
""corporate_goals""        ""start_date""        ""date""        ""YES""        
""corporate_goals""        ""target_date""        ""date""        ""YES""        
""corporate_goals""        ""status""        ""character varying""        ""YES""        ""'ACTIVE'::character varying""
""corporate_goals""        ""priority""        ""integer""        ""YES""        
""corporate_goals""        ""created_by""        ""uuid""        ""NO""        
""corporate_goals""        ""created_at""        ""timestamp without time zone""        ""NO""        
""corporate_goals""        ""updated_at""        ""timestamp without time zone""        ""NO""        ",tracking,goals,set goals like employee tenureship ,yes,corporate_goals_corporate_id_fkey: corporate_id → corporate.id,corporate_goals_pkey,"CHECK (created_at IS NOT NULL), CHECK (created_by IS NOT NULL), CHECK (id IS NOT NULL), CHECK (title IS NOT NULL), CHECK (updated_at IS NOT NULL), FOREIGN KEY (corporate_id) REFERENCES corporate(id), PRIMARY KEY (id), NOT NULL (created_at), NOT NULL (created_by), NOT NULL (id), NOT NULL (title), NOT NULL (updated_at)",,UI created,,,,,,
corporate_owners,,"""corporate_owners""        ""id""        ""uuid""        ""NO""        
""corporate_owners""        ""corporate_id""        ""uuid""        ""YES""        
""corporate_owners""        ""user_id""        ""uuid""        ""NO""        
""corporate_owners""        ""ownership_type""        ""character varying""        ""YES""        
""corporate_owners""        ""department""        ""character varying""        ""YES""        
""corporate_owners""        ""title""        ""character varying""        ""YES""        
""corporate_owners""        ""start_date""        ""date""        ""YES""        
""corporate_owners""        ""end_date""        ""date""        ""YES""        
""corporate_owners""        ""is_active""        ""boolean""        ""YES""        ""true""
""corporate_owners""        ""created_at""        ""timestamp without time zone""        ""NO""        
""corporate_owners""        ""updated_at""        ""timestamp without time zone""        ""NO""        ",hierarchy,company management,system rule access,yes,corporate_owners_corporate_id_fkey: corporate_id → corporate.id,corporate_owners_pkey,"CHECK (created_at IS NOT NULL), CHECK (id IS NOT NULL), CHECK (updated_at IS NOT NULL), CHECK (user_id IS NOT NULL), FOREIGN KEY (corporate_id) REFERENCES corporate(id), PRIMARY KEY (id), NOT NULL (created_at), NOT NULL (id), NOT NULL (updated_at), NOT NULL (user_id)",,,,,,,,
data_source_references,"DataSourcePicker, ReferenceTracker components; Shows data origin and dependencies","""data_source_references""        ""id""        ""uuid""        ""NO""        ""uuid_generate_v4()""
""data_source_references""        ""target_id""        ""uuid""        ""NO""        
""data_source_references""        ""target_type""        ""character varying""        ""NO""        
""data_source_references""        ""source_id""        ""uuid""        ""NO""        
""data_source_references""        ""source_type""        ""character varying""        ""NO""        
""data_source_references""        ""source_form_id""        ""uuid""        ""YES""        
""data_source_references""        ""data_path""        ""text""        ""YES""        
""data_source_references""        ""created_at""        ""timestamp with time zone""        ""YES""        ""now()""",tracking,,"Tracks references to source data used in documents, allowing you to track where data in estimates and reports came from.",,null,"idx_data_sources_target, data_source_references_pkey, idx_data_sources_source","CHECK (id IS NOT NULL), CHECK (source_id IS NOT NULL), CHECK (source_type IS NOT NULL), CHECK (target_id IS NOT NULL), CHECK (target_type IS NOT NULL), PRIMARY KEY (id), NOT NULL (source_id), NOT NULL (source_type), NOT NULL (target_id), NOT NULL (target_type)",,,,,,,,
department_roles,,"""department_roles""        ""id""        ""uuid""        ""NO""        ""uuid_generate_v4()""
""department_roles""        ""department_id""        ""uuid""        ""YES""        
""department_roles""        ""role_id""        ""uuid""        ""YES""        
""department_roles""        ""metadata""        ""jsonb""        ""YES""        
""department_roles""        ""created_at""        ""timestamp with time zone""        ""YES""        ""now()""
""department_roles""        ""updated_at""        ""timestamp with time zone""        ""YES""        ""now()""",organizational,assignments,write any role names that you would like,,null,department_roles_pkey,"CHECK (id IS NOT NULL), PRIMARY KEY (id)",,,,,,,,
department_types,,"""department_types""        ""id""        ""uuid""        ""NO""        ""uuid_generate_v4()""
""department_types""        ""name""        ""character varying""        ""NO""        
""department_types""        ""description""        ""text""        ""YES""        
""department_types""        ""settings""        ""jsonb""        ""YES""        
""department_types""        ""created_at""        ""timestamp with time zone""        ""YES""        ""now()""
""department_types""        ""updated_at""        ""timestamp with time zone""        ""YES""        ""now()""",identification,organizational,suit your operations needs by assigning roles to a department as you grow,yes,null,department_types_pkey,"CHECK (id IS NOT NULL), CHECK (name IS NOT NULL), PRIMARY KEY (id), NOT NULL (name)",,,,,,,,
department_views,,"""department_views""        ""id""        ""uuid""        ""NO""        ""uuid_generate_v4()""
""department_views""        ""department_id""        ""uuid""        ""YES""        
""department_views""        ""name""        ""character varying""        ""NO""        
""department_views""        ""description""        ""text""        ""YES""        
""department_views""        ""view_components""        ""jsonb""        ""YES""        
""department_views""        ""metadata""        ""jsonb""        ""YES""        
""department_views""        ""created_at""        ""timestamp with time zone""        ""YES""        ""now()""
""department_views""        ""updated_at""        ""timestamp with time zone""        ""YES""        ""now()""",view access,permissions,arranges role component access by department,yes,null,department_views_pkey,"CHECK (id IS NOT NULL), CHECK (name IS NOT NULL), PRIMARY KEY (id), NOT NULL (name)",,,,,,,,
departments,,"""departments""        ""id""        ""uuid""        ""NO""        
""departments""        ""name""        ""character varying""        ""NO""        
""departments""        ""description""        ""text""        ""YES""        
""departments""        ""is_active""        ""boolean""        ""YES""        ""true""
""departments""        ""created_at""        ""timestamp with time zone""        ""YES""        ""now()""
""departments""        ""updated_at""        ""timestamp with time zone""        ""YES""        ""now()""
""departments""        ""organization_id""        ""uuid""        ""YES""        ",organizational,hierarchical,"Represents organizational departments within companies, allowing for hierarchical structure.",yes,departments_organization_id_fkey: organization_id → organizations.id,departments_pkey,"CHECK (id IS NOT NULL), CHECK (name IS NOT NULL), FOREIGN KEY (organization_id) REFERENCES organizations(id), PRIMARY KEY (id), NOT NULL (id), NOT NULL (name)",,,,,,,,
digital_leads,,"""digital_leads""        ""id""        ""uuid""        ""NO""        
""digital_leads""        ""visitor_session_id""        ""uuid""        ""YES""        
""digital_leads""        ""lead_source""        ""character varying""        ""NO""        
""digital_leads""        ""lead_type""        ""character varying""        ""NO""        
""digital_leads""        ""entity_id""        ""uuid""        ""YES""        
""digital_leads""        ""collection_id""        ""uuid""        ""YES""        
""digital_leads""        ""form_data""        ""jsonb""        ""YES""        
""digital_leads""        ""conversion_page""        ""character varying""        ""YES""        
""digital_leads""        ""status""        ""character varying""        ""YES""        ""'NEW'::character varying""
""digital_leads""        ""assigned_to""        ""uuid""        ""YES""        
""digital_leads""        ""is_processed""        ""boolean""        ""YES""        ""false""
""digital_leads""        ""notes""        ""text""        ""YES""        
""digital_leads""        ""created_at""        ""timestamp without time zone""        ""NO""        
""digital_leads""        ""updated_at""        ""timestamp without time zone""        ""NO""        ",marketing,,"Stores leads specifically generated from digital sources (website, online ads) with relevant tracking data.",,digital_leads_visitor_session_id_fkey: visitor_session_id → visitor_sessions.id,digital_leads_pkey,"CHECK (created_at IS NOT NULL), CHECK (id IS NOT NULL), CHECK (lead_source IS NOT NULL), CHECK (lead_type IS NOT NULL), CHECK (updated_at IS NOT NULL), FOREIGN KEY (visitor_session_id) REFERENCES visitor_sessions(id), PRIMARY KEY (id), NOT NULL (created_at), NOT NULL (id), NOT NULL (lead_source), NOT NULL (lead_type), NOT NULL (updated_at)",,,,,,,,
document_ai_models,,"""document_ai_models""        ""id""        ""uuid""        ""NO""        
""document_ai_models""        ""name""        ""character varying""        ""NO""        
""document_ai_models""        ""description""        ""text""        ""YES""        
""document_ai_models""        ""model_type""        ""character varying""        ""YES""        
""document_ai_models""        ""provider""        ""character varying""        ""YES""        
""document_ai_models""        ""configuration""        ""jsonb""        ""YES""        
""document_ai_models""        ""document_types""        ""jsonb""        ""YES""        
""document_ai_models""        ""accuracy_score""        ""numeric""        ""YES""        
""document_ai_models""        ""version""        ""character varying""        ""YES""        
""document_ai_models""        ""is_active""        ""boolean""        ""YES""        ""true""
""document_ai_models""        ""created_at""        ""timestamp without time zone""        ""NO""        
""document_ai_models""        ""updated_at""        ""timestamp without time zone""        ""NO""        ",communications,artificial intelligence,future dev. ,no,null,document_ai_models_pkey,"CHECK (created_at IS NOT NULL), CHECK (id IS NOT NULL), CHECK (name IS NOT NULL), CHECK (updated_at IS NOT NULL), PRIMARY KEY (id), NOT NULL (created_at), NOT NULL (id), NOT NULL (name), NOT NULL (updated_at)",,,,,,,,
document_components,DocumentDesigner component; Arranges components within document templates,"""document_components""        ""id""        ""uuid""        ""NO""        ""uuid_generate_v4()""
""document_components""        ""document_id""        ""uuid""        ""YES""        
""document_components""        ""component_type""        ""character varying""        ""NO""        
""document_components""        ""display_order""        ""integer""        ""NO""        
""document_components""        ""config""        ""jsonb""        ""NO""        
""document_components""        ""content""        ""jsonb""        ""YES""        
""document_components""        ""source_reference""        ""jsonb""        ""YES""        
""document_components""        ""created_at""        ""timestamp with time zone""        ""YES""        ""now()""
""document_components""        ""updated_at""        ""timestamp with time zone""        ""YES""        ""now()""",modern form system,documents,"Stores individual components within documents, such as line items, photo galleries, and signature blocks.",,document_components_document_id_fkey: document_id → documents.id,"document_components_pkey, idx_doc_components_document","CHECK (component_type IS NOT NULL), CHECK (config IS NOT NULL), CHECK (display_order IS NOT NULL), CHECK (id IS NOT NULL), FOREIGN KEY (document_id) REFERENCES documents(id), PRIMARY KEY (id), NOT NULL (component_type), NOT NULL (config), NOT NULL (display_order)",,,,,,,,
document_templates,"TemplateBuilder, TemplateSelector components; Creates and manages document templates","""document_templates""        ""id""        ""uuid""        ""NO""        ""uuid_generate_v4()""
""document_templates""        ""name""        ""character varying""        ""NO""        
""document_templates""        ""description""        ""text""        ""YES""        
""document_templates""        ""document_type""        ""character varying""        ""NO""        
""document_templates""        ""organization_id""        ""uuid""        ""YES""        
""document_templates""        ""department_id""        ""uuid""        ""YES""        
""document_templates""        ""layout""        ""jsonb""        ""NO""        
""document_templates""        ""is_active""        ""boolean""        ""YES""        ""true""
""document_templates""        ""is_public""        ""boolean""        ""YES""        ""false""
""document_templates""        ""created_by""        ""uuid""        ""YES""        
""document_templates""        ""created_at""        ""timestamp with time zone""        ""YES""        ""now()""
""document_templates""        ""updated_at""        ""timestamp with time zone""        ""YES""        ""now()""",modern form system,documents,"Stores templates for documents like estimates, inspections, and reports, allowing users to create consistent documents quickly.",,"document_templates_created_by_fkey: created_by → users.id
document_templates_department_id_fkey: department_id → departments.id
document_templates_organization_id_fkey: organization_id → organizations.id","idx_doc_templates_type, document_templates_pkey, idx_doc_templates_org","CHECK (document_type IS NOT NULL), CHECK (id IS NOT NULL), CHECK (layout IS NOT NULL), CHECK (name IS NOT NULL), FOREIGN KEY (created_by) REFERENCES users(id), FOREIGN KEY (department_id) REFERENCES departments(id), FOREIGN KEY (organization_id) REFERENCES organizations(id), PRIMARY KEY (id), NOT NULL (document_type), NOT NULL (layout), NOT NULL (name)",,,,,,,,
